waypoint_id,latitude,longitude,name
YYZ,43.6777,-79.6248,TORONTO_PEARSON
YVR,49.1947,-123.1795,VANCOUVER
YUL,45.4706,-73.7408,MONTREAL_TRUDEAU
YYC,51.1139,-114.0199,CALGARY
YEG,53.3097,-113.5795,EDMONTON
YOW,45.3225,-75.6692,OTTAWA
YWG,49.9099,-97.2399,WINNIPEG
YHZ,44.8808,-63.507,HALIFAX
YYJ,48.6469,-123.4261,VICTORIA
YYT,47.6186,-52.7519,ST_JOHNS
