25
0,0,10035.91
1,1,10537.71
2,2,11039.51
2,8,10000.00
2,10,10000.00
2,11,10000.00
2,12,10000.00
2,13,10000.00
2,14,10000.00
3,3,11541.30
4,4,12043.10
5,5,8655.23
5,14,10000.00
5,15,10000.00
6,6,9087.99
6,14,10000.00
6,15,10000.00
7,7,9520.75
7,14,10000.00
7,15,10000.00
8,2,10000.00
8,8,9953.51
8,10,10000.00
8,11,10000.00
8,12,10000.00
8,13,10000.00
8,14,10000.00
8,15,10000.00
9,9,10386.27
9,14,10000.00
9,15,10000.00
10,2,10000.00
10,8,10000.00
10,10,8547.33
11,2,10000.00
11,8,10000.00
11,11,8974.70
12,2,10000.00
12,8,10000.00
12,12,9402.06
13,2,10000.00
13,8,10000.00
13,13,9829.43
14,2,10000.00
14,5,10000.00
14,6,10000.00
14,7,10000.00
14,8,10000.00
14,9,10000.00
14,14,10256.79
14,15,10000.00
15,5,10000.00
15,6,10000.00
15,7,10000.00
15,8,10000.00
15,9,10000.00
15,14,10000.00
15,15,7729.46
16,16,8115.93
17,17,8502.40
18,18,8888.87
19,19,9275.35
20,20,15151.09
21,21,15908.64
22,22,16666.20
23,23,17423.75
24,24,18181.30
