25
0,0,12544.890000
0,1,0.000000
0,2,0.000000
0,3,0.000000
0,4,0.000000
0,5,0.000000
0,6,0.000000
0,7,0.000000
0,8,0.000000
0,9,0.000000
0,10,0.000000
0,11,0.000000
0,12,0.000000
0,13,0.000000
0,14,0.000000
0,15,0.000000
0,16,0.000000
0,17,0.000000
0,18,0.000000
0,19,0.000000
0,20,0.000000
0,21,0.000000
0,22,0.000000
0,23,0.000000
0,24,0.000000
1,0,0.000000
1,1,12564.670000
1,2,0.000000
1,3,0.000000
1,4,0.000000
1,5,0.000000
1,6,0.000000
1,7,0.000000
1,8,0.000000
1,9,0.000000
1,10,0.000000
1,11,0.000000
1,12,0.000000
1,13,10000.000000
1,14,0.000000
1,15,0.000000
1,16,0.000000
1,17,0.000000
1,18,10000.000000
1,19,0.000000
1,20,0.000000
1,21,0.000000
1,22,0.000000
1,23,10000.000000
1,24,0.000000
2,0,0.000000
2,1,0.000000
2,2,17906.920000
2,3,10000.000000
2,4,0.000000
2,5,10000.000000
2,6,10000.000000
2,7,10000.000000
2,8,10000.000000
2,9,10000.000000
2,10,10000.000000
2,11,10000.000000
2,12,10000.000000
2,13,10000.000000
2,14,10000.000000
2,15,0.000000
2,16,0.000000
2,17,10000.000000
2,18,0.000000
2,19,10000.000000
2,20,0.000000
2,21,0.000000
2,22,10000.000000
2,23,0.000000
2,24,10000.000000
3,0,0.000000
3,1,0.000000
3,2,10000.000000
3,3,24591.790000
3,4,0.000000
3,5,10000.000000
3,6,10000.000000
3,7,10000.000000
3,8,10000.000000
3,9,10000.000000
3,10,0.000000
3,11,0.000000
3,12,10000.000000
3,13,0.000000
3,14,0.000000
3,15,0.000000
3,16,0.000000
3,17,10000.000000
3,18,0.000000
3,19,10000.000000
3,20,0.000000
3,21,0.000000
3,22,10000.000000
3,23,0.000000
3,24,10000.000000
4,0,0.000000
4,1,0.000000
4,2,0.000000
4,3,0.000000
4,4,11743.200000
4,5,0.000000
4,6,0.000000
4,7,0.000000
4,8,0.000000
4,9,10000.000000
4,10,0.000000
4,11,0.000000
4,12,0.000000
4,13,0.000000
4,14,0.000000
4,15,0.000000
4,16,0.000000
4,17,0.000000
4,18,0.000000
4,19,0.000000
4,20,0.000000
4,21,0.000000
4,22,0.000000
4,23,0.000000
4,24,0.000000
5,0,0.000000
5,1,0.000000
5,2,10000.000000
5,3,10000.000000
5,4,0.000000
5,5,24577.130000
5,6,10000.000000
5,7,10000.000000
5,8,10000.000000
5,9,10000.000000
5,10,0.000000
5,11,0.000000
5,12,10000.000000
5,13,0.000000
5,14,0.000000
5,15,0.000000
5,16,0.000000
5,17,10000.000000
5,18,0.000000
5,19,10000.000000
5,20,0.000000
5,21,0.000000
5,22,10000.000000
5,23,0.000000
5,24,10000.000000
6,0,0.000000
6,1,0.000000
6,2,10000.000000
6,3,10000.000000
6,4,0.000000
6,5,10000.000000
6,6,20972.000000
6,7,10000.000000
6,8,10000.000000
6,9,10000.000000
6,10,10000.000000
6,11,10000.000000
6,12,10000.000000
6,13,0.000000
6,14,10000.000000
6,15,0.000000
6,16,10000.000000
6,17,10000.000000
6,18,0.000000
6,19,10000.000000
6,20,0.000000
6,21,10000.000000
6,22,10000.000000
6,23,0.000000
6,24,10000.000000
7,0,0.000000
7,1,0.000000
7,2,10000.000000
7,3,10000.000000
7,4,0.000000
7,5,10000.000000
7,6,10000.000000
7,7,20480.940000
7,8,10000.000000
7,9,10000.000000
7,10,0.000000
7,11,0.000000
7,12,10000.000000
7,13,0.000000
7,14,0.000000
7,15,0.000000
7,16,0.000000
7,17,10000.000000
7,18,0.000000
7,19,10000.000000
7,20,0.000000
7,21,0.000000
7,22,10000.000000
7,23,0.000000
7,24,10000.000000
8,0,0.000000
8,1,0.000000
8,2,10000.000000
8,3,10000.000000
8,4,0.000000
8,5,10000.000000
8,6,10000.000000
8,7,10000.000000
8,8,22018.930000
8,9,10000.000000
8,10,0.000000
8,11,0.000000
8,12,10000.000000
8,13,0.000000
8,14,0.000000
8,15,0.000000
8,16,0.000000
8,17,10000.000000
8,18,0.000000
8,19,10000.000000
8,20,0.000000
8,21,0.000000
8,22,10000.000000
8,23,0.000000
8,24,10000.000000
9,0,0.000000
9,1,0.000000
9,2,10000.000000
9,3,10000.000000
9,4,10000.000000
9,5,10000.000000
9,6,10000.000000
9,7,10000.000000
9,8,10000.000000
9,9,20556.710000
9,10,0.000000
9,11,0.000000
9,12,10000.000000
9,13,0.000000
9,14,0.000000
9,15,0.000000
9,16,0.000000
9,17,10000.000000
9,18,0.000000
9,19,10000.000000
9,20,0.000000
9,21,0.000000
9,22,10000.000000
9,23,0.000000
9,24,10000.000000
10,0,0.000000
10,1,0.000000
10,2,10000.000000
10,3,0.000000
10,4,0.000000
10,5,0.000000
10,6,10000.000000
10,7,0.000000
10,8,0.000000
10,9,0.000000
10,10,16856.700000
10,11,10000.000000
10,12,0.000000
10,13,10000.000000
10,14,10000.000000
10,15,0.000000
10,16,10000.000000
10,17,0.000000
10,18,0.000000
10,19,10000.000000
10,20,0.000000
10,21,10000.000000
10,22,0.000000
10,23,0.000000
10,24,10000.000000
11,0,0.000000
11,1,0.000000
11,2,10000.000000
11,3,0.000000
11,4,0.000000
11,5,0.000000
11,6,10000.000000
11,7,0.000000
11,8,0.000000
11,9,0.000000
11,10,10000.000000
11,11,11670.030000
11,12,0.000000
11,13,10000.000000
11,14,10000.000000
11,15,0.000000
11,16,10000.000000
11,17,0.000000
11,18,0.000000
11,19,10000.000000
11,20,0.000000
11,21,10000.000000
11,22,0.000000
11,23,0.000000
11,24,10000.000000
12,0,0.000000
12,1,0.000000
12,2,10000.000000
12,3,10000.000000
12,4,0.000000
12,5,10000.000000
12,6,10000.000000
12,7,10000.000000
12,8,10000.000000
12,9,10000.000000
12,10,0.000000
12,11,0.000000
12,12,13080.040000
12,13,0.000000
12,14,0.000000
12,15,0.000000
12,16,0.000000
12,17,10000.000000
12,18,0.000000
12,19,10000.000000
12,20,0.000000
12,21,0.000000
12,22,10000.000000
12,23,0.000000
12,24,10000.000000
13,0,0.000000
13,1,10000.000000
13,2,10000.000000
13,3,0.000000
13,4,0.000000
13,5,0.000000
13,6,0.000000
13,7,0.000000
13,8,0.000000
13,9,0.000000
13,10,10000.000000
13,11,10000.000000
13,12,0.000000
13,13,13294.820000
13,14,10000.000000
13,15,0.000000
13,16,0.000000
13,17,0.000000
13,18,10000.000000
13,19,10000.000000
13,20,0.000000
13,21,0.000000
13,22,0.000000
13,23,10000.000000
13,24,10000.000000
14,0,0.000000
14,1,0.000000
14,2,10000.000000
14,3,0.000000
14,4,0.000000
14,5,0.000000
14,6,10000.000000
14,7,0.000000
14,8,0.000000
